Sports Equipment Detailed,,,,,,
,,,,,,
,Equip Name,,Quantity,Quantity Available,School Name,Sport Name
,McGregor MXJ,,5,5,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,ball inflator,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,footballs wilson  ,,5,5,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Tees kickoff,,8,8,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Footballs Rawling,,2,2,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,game belts w/d ring fastners color maroon ,,100,100,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,"Practice Jerseys russell belt lenth plain porthole mesh body ,color maroon ",,112,112,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,"Practice Jerseys Russell belt lenth plain porthole mesh body and sleeves ,color white",,112,112,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,practice pants russell 14/ slot waist,,163,163,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,scrimmage vest-rusell nylon mesh scoop neck  /color blue ,,20,20,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game Socks twin city solid color /maroon ,,100,100,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game Pants -Wilson  ploy stretch  / X175C //color maroon ,,94,94,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game Jerseys / Rawling 7584 waist length /color maroon / No school name on front ,,86,86,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game Pants Maurauder F70S color silver,,90,90,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game Jerseys Rawling 7584 waist length nylon mesh /color white . maroon letters / school name on front,,94,94,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game jerseys FG2 white visitors maroon size leters '2 sleeve stripes - grey maroon - grey ,,50,50,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Game Jerseys Ho 991E Full length paneled with elastic sleeve-color maroon  home games rangers on front .number on shoulder,,50,50,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,mouth piesces saf-t-guard individually wrapped color maroon ,,120,120,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Shoulder Pads all brands ,,118,118,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Shouder Pad rack four holders ,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,shoulder pad rack 2 holder,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,hardware kid adams,,2,2,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,"football shoes all brans ridell, pro zone, rattler, apex, rawling, pony ",,50,50,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,pads scoop shield slight curve color blue,,8,8,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,"pads stand up dummies color grey , orange trim",,5,5,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Wrap t- type goal post pads foam core six inch thiack and encased by 18 oz vinyl coated nylon color purple driscoll name on on them ,,4,4,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,chain  set with first down marker ,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,roll away helmet cart stores 60 helmets,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,lineman split marker heavy duty,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,five man blocking sled,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Elbow pads bike #7270,,19,19,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,coaches shirt pro cleb KTM961 mustang polo,,6,6,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,coaches caps mesh valero #414 grey maroon trim,,8,8,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Hip Pads Nacona w/snaps 3 piece set,,80,80,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Hip pads nocona snap in nylon covered white,,15,15,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,"Hip pads ridell varsity 3 piece slotted  color purple , hand down from miller ",,65,65,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Knee pads bike extra long  pl 50,,50,50,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Knee pads ridell thermoform 8'' #48135 ,,40,40,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Nakona knee pads tdt-r,,40,40,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Shoe lace color black,,65,65,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,thigh Pads all brand,,86,86,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Chip Straps Adams 4pt low strap maroon R4713 color maroon ,,75,75,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Chip straps adams pro 100 color white ,,75,75,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Chin Straps Hard cup//color white,,40,40,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Water cooler Igloo 5 gallons color yellow ,,5,5,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Ice chest color blue,,3,3,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Water bottles with carrying case ,,14,14,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Rib cage proctector riddell,,1,1,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Shoulder pad lace nylon  color black,,50,50,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Helmets riddlelittle pro 4pt chin strap color white kralite mask,,125,125,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Helmets riddell new revolution,,10,10,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,"Endzone pylons-1 vinly nylon rocket red 4"" square 18"" high 3 lbs ",,8,8,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Extra point tees molded rubber ,,4,4,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Wrap type goal post pads 2inch polyfoam velcro strap horizontally around outside  off pad to hold securely to post //color marroon   ,,4,4,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,sideline markers crusable breaks down to store flat 11 piece set ,,11,11,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Step over agility dummy . double reinforced coated vinly cover / royal blue,,4,4,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,wristband ,,3,3,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,Rawlings Black Game pants w/pads,,35,35,Driscoll Middle School,Football (M)
,,Athlete Name,Quantity,Identifier,,
,,,,,,
,,,,,,
